,ra,dec
2533,149.750260144,2.66396117968
2546,149.602394372,2.2324355894
2552,149.512026278,2.18522853872
2556,149.567341292,2.21944570946
2558,149.572208284,2.09699897538
2561,149.661778955,2.15366214446
2563,149.49479063,2.08430141813
2565,149.551032248,2.78100769715
2577,149.381921315,2.3741525148
2588,149.365212648,2.68188521248
2590,149.396347957,2.74604270344
2594,149.428126012,2.75055645068
2604,149.600680544,2.82160291379
2609,149.364212099,2.57778548121
2635,149.54078774,1.87725666276
2646,150.631627413,2.49913955302
2661,149.851301598,1.65477740423
2692,149.596632674,2.0350972472
2694,149.482733561,1.74867828534
2695,149.511696415,1.75274543005
2702,149.576011318,1.65847074521
2709,149.624321238,1.67646662869
2710,149.640592898,1.77014038844
2718,149.745190199,1.62943894007
2720,149.75839388,1.71644749326
2726,150.099312979,1.58010775735
2739,149.991353212,1.62109506358
2752,150.077557191,1.59450959482
2753,149.913220908,1.71439512907
2772,150.313334292,1.60460312918
2773,150.31649145,1.60385957899
2774,150.323419,1.52881291658
2780,150.799978188,2.60666034274
2792,150.451309931,1.75536581221
2817,150.604198926,2.24616682078
2822,150.600710668,2.27269958402
2829,150.503462063,1.61869866624
2847,150.593248038,1.87978866974
2859,150.657473363,2.0823719162
2863,150.70124202,2.05831832594
2873,150.820508287,2.14254110689
2877,150.855409537,2.22364568188
2884,150.698728535,1.68071718833
2885,150.702145853,1.70478075509
2894,150.819450793,1.65967736601
2908,150.858383135,2.07921975738
2912,150.593762863,2.45699796859
2929,149.662832546,2.45669137507
2931,149.571607995,2.50080577696
2947,149.521455695,2.7094398054
2948,149.451883503,2.62542314749
2949,149.492037787,2.51795434821
2971,150.57516403,2.51790832526
2977,150.233274325,2.64321259506
2978,150.242553741,2.61476403322
3014,150.794885515,2.64426150596
3030,150.100376855,2.8125546694
3051,150.214533296,2.91118931516
3066,150.463733204,2.77551453272
3073,150.368718373,2.74546756647
3140,149.585383256,2.36922841576
3146,149.655502408,2.31075841649
3182,149.44173176,2.74649215848
3267,149.931455652,1.73554164426
3284,149.947989698,1.64774668538
3298,150.055306726,1.58618971083
3303,149.676724917,1.61238544926
3389,150.545600563,1.82192774251
3393,150.610553313,1.80083904256
3398,150.552510845,1.87404019266
3403,150.616580965,1.84460541228
3404,150.631208633,1.86049847906
3411,150.639774776,2.0602717898
3428,150.759563809,2.20578852778
3434,150.639334612,1.73007200991
3437,150.689988663,1.75211223676
3452,150.817333063,2.04280313415
3456,150.590411763,2.45640347652
3471,149.660146418,2.46516699933
3487,149.582898393,2.48941898684
3491,149.466257715,2.53776504783
3494,150.468279788,2.82317169843
3511,150.237939649,2.58100783341
3514,150.237488978,2.63717979853
3519,150.500157988,2.89280549194
3525,150.234442643,2.63583016807
3554,150.378925559,2.86001884733
3596,149.863223872,2.55094370102
3598,150.625195495,2.57709591833
3616,150.78919933,2.64379312981
3623,150.209856865,1.68666820634
3629,150.034276979,1.72089743054
3639,149.467202989,1.75612533254
3647,149.888970826,1.48535079531
3683,150.675800681,2.26138067825
3689,150.631465526,1.74948534366
3690,150.631339895,1.84553760141
3701,150.71637363,2.67964050445
3705,150.687953391,1.82299765243
3721,150.757221323,2.71994993751
3729,150.410293737,2.58718203275
3750,150.595772506,2.75577747437
3756,149.77215967,2.93190967721
3759,149.891038878,2.8073115944
3767,149.921065387,1.74065648581
3771,149.717037637,2.86558214005
3773,149.784603139,2.71934545812
3776,149.801356773,2.89885950356
3788,150.653837969,1.63672492704
3813,149.785995767,2.90667194486
3838,149.662068323,2.3969743565
3852,149.473486372,2.12984765309
3906,149.588525012,2.34360076648
3907,149.612699151,2.27185244942
3930,149.467857252,2.33920149805
3934,149.504166869,2.21383447338
3947,149.387773591,2.72135483096
3955,149.452440321,2.74640362071
3969,149.561536789,2.77814382514
3977,149.393835423,2.59887099732
3984,149.472253071,1.91888835979
3985,149.473248866,1.9570516993
