,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,gfits,rfits,ifits,zfits,yfits
16,b'cid_12512',149.8800048828125,1.937113,1.26,-99.0,0.00041799998,-99.0,6.559999999999999e-15,-99.0,0.0,-99.0,-99.0,-99.0,12.24,7.219999999999999e-05,2.32e-05,4.58e-16,1.47e-16,3.13,169.16,11.4,4.77,-99.0,7.36e-05,-99.0,2.2399999999999997e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.83,149.88000488281298,1.937113,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88000488281298/cutout-HSC-G-9813-pdr2_dud-200225-061804.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88000488281298/cutout-HSC-R-9813-pdr2_dud-200225-061814.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88000488281298/cutout-HSC-I-9813-pdr2_dud-200225-061822.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88000488281298/cutout-HSC-Y-9813-pdr2_dud-200225-061839.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.88000488281298/cutout-HSC-Z-9813-pdr2_dud-200225-061831.fits
17,b'cid_1259 ',150.3429899883,2.3444932296000003,0.532,14.45,8.159999600000001e-05,4.03e-05,1.28e-15,6.33e-16,2.02,216.19,18.35,5.91,12.37,6.7600005e-05,2.6099999e-05,4.29e-16,1.6499999e-16,2.6,211.05,14.89,5.37,-99.0,0.00026600002,-99.0,8.09e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.32,150.3429899883,2.3444932296000003,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3429899883/cutout-HSC-G-9813-pdr2_dud-200225-061927.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3429899883/cutout-HSC-R-9813-pdr2_dud-200225-061936.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3429899883/cutout-HSC-I-9813-pdr2_dud-200225-061944.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3429899883/cutout-HSC-Y-9813-pdr2_dud-200225-062002.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3429899883/cutout-HSC-Z-9813-pdr2_dud-200225-061953.fits
19,b'cid_1262 ',150.3988499921,2.2709033063,0.684,20.8,0.000145,4.95e-05,2.2799999e-15,7.77e-16,2.92,163.03,26.07,6.95,14.56,9.45e-05,3.21e-05,5.990000000000001e-16,2.04e-16,2.94,157.85,16.63,5.65,-99.0,0.00022100001,-99.0,6.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.2,-0.48,0.3,150.3988499921,2.2709033063,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3988499921/cutout-HSC-G-9813-pdr2_dud-200225-062157.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3988499921/cutout-HSC-R-9813-pdr2_dud-200225-062205.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3988499921/cutout-HSC-I-9813-pdr2_dud-200225-062213.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3988499921/cutout-HSC-Y-9813-pdr2_dud-200225-062228.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.3988499921/cutout-HSC-Z-9813-pdr2_dud-200225-062220.fits
20,b'cid_1263 ',150.4251899911,2.3120887098,0.7440000000000001,25.31,0.000120000004,3.41e-05,1.88e-15,5.349999999999999e-16,3.51,162.9,19.13,6.02,15.14,5.0100003e-05,2.0899999e-05,3.1800002e-16,1.3300000000000002e-16,2.39,162.45,7.91,4.06,8.18,7.46e-05,2.84e-05,2.27e-15,8.630000000000001e-16,2.63,162.51,12.27,4.92,-0.04,-0.44,0.37,150.4251899911,2.3120887098,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.4251899911/cutout-HSC-G-9813-pdr2_dud-200225-062313.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.4251899911/cutout-HSC-R-9813-pdr2_dud-200225-062321.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.4251899911/cutout-HSC-I-9813-pdr2_dud-200225-062329.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.4251899911/cutout-HSC-Y-9813-pdr2_dud-200225-062344.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.4251899911/cutout-HSC-Z-9813-pdr2_dud-200225-062336.fits
21,b'cid_12650',150.21299743652344,2.18825,0.986,-99.0,0.000595,-99.0,9.340000000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,11.22,4e-05,1.86e-05,2.54e-16,1.18e-16,2.16,216.83,8.1,4.1,-99.0,0.00022100001,-99.0,6.72e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.43,150.212997436523,2.18825,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.212997436523/cutout-HSC-G-9813-pdr2_dud-200225-062435.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.212997436523/cutout-HSC-R-9813-pdr2_dud-200225-062442.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.212997436523/cutout-HSC-I-9813-pdr2_dud-200225-062450.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.212997436523/cutout-HSC-Y-9813-pdr2_dud-200225-062506.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.212997436523/cutout-HSC-Z-9813-pdr2_dud-200225-062458.fits
23,b'cid_1285 ',150.35632999860002,2.2239851841,0.983,12.27,0.00010499999,3.48e-05,1.65e-15,5.46e-16,3.01,174.7,17.18,5.73,-99.0,0.00022,-99.0,1.3900000000000001e-15,-99.0,0.0,-99.0,-99.0,-99.0,11.39,7.91e-05,3.07e-05,2.4e-15,9.33e-16,2.58,175.06,13.27,5.1,0.57,0.36,0.82,150.35632999860002,2.2239851841,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.35632999860002/cutout-HSC-G-9813-pdr2_dud-200225-062722.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.35632999860002/cutout-HSC-R-9813-pdr2_dud-200225-062730.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.35632999860002/cutout-HSC-I-9813-pdr2_dud-200225-062738.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.35632999860002/cutout-HSC-Y-9813-pdr2_dud-200225-062753.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.35632999860002/cutout-HSC-Z-9813-pdr2_dud-200225-062745.fits
24,b'cid_1290 ',150.0779000039,1.9303350097,0.429,10.82,0.000113,4.52e-05,1.77e-15,7.1e-16,2.5,155.03,17.65,5.8,-99.0,7.72e-05,-99.0,4.89e-16,-99.0,0.0,-99.0,-99.0,-99.0,10.35,8.03e-05,3.9900002e-05,2.44e-15,1.21e-15,2.01,156.78,12.96,5.05,0.39,0.14,0.77,150.0779000039,1.9303350097,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779000039/cutout-HSC-G-9813-pdr2_dud-200225-062844.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779000039/cutout-HSC-R-9813-pdr2_dud-200225-062855.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779000039/cutout-HSC-I-9813-pdr2_dud-200225-062904.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779000039/cutout-HSC-Y-9813-pdr2_dud-200225-062921.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.0779000039/cutout-HSC-Z-9813-pdr2_dud-200225-062913.fits
25,b'cid_1293 ',150.2876299793,1.9409972144,0.925,16.84,0.000128,3.5700000000000014e-05,2.0100000000000003e-15,5.599999999999998e-16,3.59,154.59,19.72,6.11,18.17,8.78e-05,2.6e-05,5.570000000000001e-16,1.6499999e-16,3.37,150.98,13.31,5.11,-99.0,0.000359,-99.0,1.09e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.12,-0.37,0.18,150.2876299793,1.9409972144,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2876299793/cutout-HSC-G-9813-pdr2_dud-200225-063008.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2876299793/cutout-HSC-R-9813-pdr2_dud-200225-063017.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2876299793/cutout-HSC-I-9813-pdr2_dud-200225-063026.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2876299793/cutout-HSC-Y-9813-pdr2_dud-200225-063043.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.2876299793/cutout-HSC-Z-9813-pdr2_dud-200225-063035.fits
26,b'cid_1304 ',149.8605599648,2.3878495876,1.531,11.25,8.100000600000001e-05,3.0799998e-05,1.27e-15,4.84e-16,2.62,154.9,12.77,5.01,6.35,3.43e-05,1.85e-05,2.1700001e-16,1.17e-16,1.85,157.71,5.34,3.45,6.32,5.1900002000000013e-05,2.6400001e-05,1.58e-15,8.029999999999999e-16,1.97,157.59,8.37,4.16,-0.18,-0.69,0.39,149.8605599648,2.3878495876,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8605599648/cutout-HSC-G-9813-pdr2_dud-200225-063135.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8605599648/cutout-HSC-R-9813-pdr2_dud-200225-063143.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8605599648/cutout-HSC-I-9813-pdr2_dud-200225-063151.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8605599648/cutout-HSC-Y-9813-pdr2_dud-200225-063207.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.8605599648/cutout-HSC-Z-9813-pdr2_dud-200225-063159.fits
27,b'cid_1313 ',149.930148634,2.59005860435,0.768,18.37,0.00019600001,4.13e-05,3.25e-15,6.84e-16,4.73,197.03,32.36,7.69,24.19,0.00016299999999999998,3.35e-05,1.1399999000000002e-15,2.34e-16,4.88,189.36,23.65,6.64,-99.9,0.00010800001,-99.9,3.3e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.64,-0.83,-0.5,149.930148634,2.5900586043500002,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.930148634/cutout-HSC-G-9813-pdr2_dud-200225-063318.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.930148634/cutout-HSC-R-9813-pdr2_dud-200225-063328.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.930148634/cutout-HSC-I-9813-pdr2_dud-200225-063338.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.930148634/cutout-HSC-Y-9813-pdr2_dud-200225-063355.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/149.930148634/cutout-HSC-Z-9813-pdr2_dud-200225-063347.fits
28,b'cid_1366 ',150.269320001,1.8648852879,0.562,11.28,9.59e-05,3.5700000000000014e-05,1.5099999999999999e-15,5.599999999999998e-16,2.68,163.89,15.17,5.42,-99.0,0.000125,-99.0,7.93e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000349,-99.0,1.06e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.32,-99.0,150.269320001,1.8648852879,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-G-9813-pdr2_dud-200225-063437.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-R-9813-pdr2_dud-200225-063444.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-I-9813-pdr2_dud-200225-063453.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-Y-9813-pdr2_dud-200225-063508.fits,/Users/linaflorez/Desktop/ObsCos/COSMOS_research/Restart/FITS_FILES/150.269320001/cutout-HSC-Z-9813-pdr2_dud-200225-063501.fits
