,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,GRI/IZY,Visible,Invisible,Saturated,"Visible, Near Saturated Object","Not Visible, Near Saturated Object","Visible, but near an object","Not Visible, but near an object",Unclear
88,b'cid_1082 ',150.0591900128,2.1124640058,0.568,63.54,0.000459,7.33e-05,7.21e-15,1.15e-15,6.27,152.16,62.56,10.52,28.55,0.000188,4.4200002e-05,1.1900001e-15,2.8e-16,4.23,148.62,25.04,6.82,43.06,0.000283,6.0100003e-05,8.6e-15,1.83e-15,4.7,155.68,40.23,8.52,0.16,-0.03,0.37,150.0591900128,2.1124640058,B,,Y,,,,,Y,
89,b'cid_1083 ',150.0227100052,2.0261455143,1.219,27.11,0.00021600001,4.3800002e-05,3.3900001e-15,6.88e-16,4.92,155.58,34.84,7.96,9.25,7.22e-05,2.49e-05,4.58e-16,1.5800001e-16,2.9,155.05,11.47,4.78,9.8,0.00010700001,3.43e-05,3.25e-15,1.04e-15,3.12,155.55,17.81,5.83,0.04,-0.27,0.36,150.0227100052,2.0261455143,B,,Y,,,,,Y,
101,b'cid_1094 ',149.9909699599,2.0037389129,1.166,38.22,0.00029300002,5.2800002e-05,4.6e-15,8.29e-16,5.56,126.7,35.66,8.05,29.74,0.000152,3.63e-05,9.64e-16,2.3e-16,4.19,125.54,18.26,5.89,10.81,0.00010599999,3.58e-05,3.22e-15,1.09e-15,2.94,127.42,13.16,5.08,-0.25,-0.54,0.09,149.99096995989999,2.0037389129,B,,Y,,,,,,
112,b'cid_1103 ',150.2299600003,1.9938728867,0.352,26.55,0.000124,3.73e-05,1.95e-15,5.86e-16,3.34,199.79,24.85,6.8,40.95,0.000109,2.73e-05,6.91e-16,1.7300001e-16,3.99,196.07,21.39,6.34,-99.0,9e-05,-99.0,2.74e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.87,150.2299600003,1.9938728867,B,Y,,Y,,,,,
117,b'cid_1108 ',150.3231099899,1.9714002859,0.381,46.27,0.00023199999,4.5e-05,3.64e-15,7.0700003e-16,5.14,164.76,36.94,8.18,-99.0,8.8400004e-05,-99.0,5.6e-16,-99.0,0.0,-99.0,-99.0,-99.0,52.13,0.00024200001,4.3699998e-05,7.36e-15,1.33e-15,5.52,165.19,39.77,8.47,-99.0,0.95,-99.0,150.3231099899,1.9714002859,B,,Y,,,,,Y,
120,b'cid_11100',150.24400329589844,2.194416,0.387,-99.0,0.000682,-99.0,1.07000006e-14,-99.0,0.0,-99.0,-99.0,-99.0,20.95,6.29e-05,2.16e-05,3.99e-16,1.37e-16,2.91,145.75,10.63,4.62,-99.0,0.000145,-99.0,4.41e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.78,150.244003295898,2.194416,B,,Y,,,,,Y,
122,b'cid_1112 ',150.395059012,1.97698386908,0.198,339.78,0.00085699995,6.62e-05,1.4099999e-14,1.09e-15,12.94,184.63,151.27,16.13,248.29,0.000556,4.64e-05,3.85e-15,3.21e-16,11.98,175.65,92.58,12.71,113.94,0.000321,3.72e-05,9.8e-15,1.1399999e-15,8.62,187.13,57.44,10.1,-0.27,-0.36,-0.18,150.39505901200002,1.97698386908,B,,Y,,,,,,
123,b'cid_1113 ',150.3128099929,1.9538821993,0.948,15.88,0.00016,4.0799998e-05,2.51e-15,6.4099996e-16,3.91,168.72,25.35,6.86,27.73,0.000154,3.3199998e-05,9.760001e-16,2.1e-16,4.64,167.89,24.12,6.7,-99.0,0.000193,-99.0,5.8699997e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.58,-0.81,-0.32,150.31280999290001,1.9538821993000002,B,,Y,,,,,,
125,b'cid_11145',150.398928113,2.05945495733,0.661,16.34,7.96e-05,2.76e-05,1.25e-15,4.33e-16,2.89,181.2,15.0,5.39,29.39,0.00010800001,2.8800001e-05,6.85e-16,1.83e-16,3.76,171.79,13.99,5.22,-99.9,6.45e-05,-99.9,1.96e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.83,150.39892811299998,2.05945495733,B,Y,,Y,,,,,
129,b'cid_11178',150.01400756835938,2.193798,0.644,-99.0,0.00049299997,-99.0,7.74e-15,-99.0,0.0,-99.0,-99.0,-99.0,14.05,7.38e-05,2.6700001e-05,4.68e-16,1.69e-16,2.76,199.22,14.01,5.23,-99.0,0.000191,-99.0,5.8099997e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.5,150.014007568359,2.193798,B,,Y,,,,,,
