,id_x,RA_x,DEC_x,pos_err,DET_ML_F,rate_F,rate_F_err,flux_F,flux_F_err,snr_F,exptime_F,cts_ap_F,cts_ap_F_err,DET_ML_S,rate_S,rate_S_err,flux_S,flux_S_err,snr_S,exptime_S,cts_ap_S,cts_ap_S_err,DET_ML_H,rate_H,rate_H_err,flux_H,flux_H_err,snr_H,exptime_H,cts_ap_H,cts_ap_H_err,HR,HR_lo_lim,HR_up_lim,ra,dec,GRI/IZY,Visible,Invisible,Saturated,"Visible, Near Saturated Object","Not Visible, Near Saturated Object","Visible, but near an object","Not Visible, but near an object",Unclear
322,b'cid_1290 ',150.0779000039,1.9303350097,0.429,10.82,0.000113,4.52e-05,1.77e-15,7.1e-16,2.5,155.03,17.65,5.8,-99.0,7.72e-05,-99.0,4.89e-16,-99.0,0.0,-99.0,-99.0,-99.0,10.35,8.03e-05,3.9900002e-05,2.44e-15,1.21e-15,2.01,156.78,12.96,5.05,0.39,0.14,0.77,150.0779000039,1.9303350097,B,,Y,,,,,,
324,b'cid_1292 ',150.207019987,1.823398492,0.928,16.83,0.00014199999,3.83e-05,2.23e-15,6.01e-16,3.7,170.23,23.02,6.56,12.02,8.35e-05,2.5899999e-05,5.29e-16,1.64e-16,3.23,170.73,13.35,5.11,-99.0,0.000322,-99.0,9.79e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.16,-0.48,0.26,150.207019987,1.823398492,B,,Y,,,,,Y,
325,b'cid_1293 ',150.2876299793,1.9409972144,0.925,16.84,0.000128,3.57e-05,2.01e-15,5.6e-16,3.59,154.59,19.72,6.11,18.17,8.78e-05,2.6e-05,5.57e-16,1.6499999e-16,3.37,150.98,13.31,5.11,-99.0,0.000359,-99.0,1.09e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.12,-0.37,0.18,150.2876299793,1.9409972144,B,,Y,,,,,,
329,b'cid_1299 ',150.0251999897,2.0876497839,1.059,17.12,0.000178,4.07e-05,2.79e-15,6.3899996e-16,4.38,168.79,28.85,7.29,-99.0,0.000145,-99.0,9.189999e-16,-99.0,0.0,-99.0,-99.0,-99.0,20.12,0.000148,3.65e-05,4.5e-15,1.11e-15,4.06,169.06,24.79,6.79,-0.11,-0.31,0.56,150.02519998969998,2.0876497839,B,,Y,,,,,Y,
330,b'cid_13   ',149.716622795,2.30344521468,0.879,6.24,6.68e-05,2.82e-05,1.09e-15,4.62e-16,2.37,151.32,10.7,4.63,11.79,6.6399996e-05,2.25e-05,4.55e-16,1.54e-16,2.94,149.96,9.74,4.45,-99.9,6.0100003e-05,-99.9,1.83e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.93,149.716622795,2.30344521468,B,,Y,,,,,Y,Y
335,b'cid_1304 ',149.8605599648,2.3878495876,1.531,11.25,8.1000006e-05,3.0799998e-05,1.27e-15,4.84e-16,2.62,154.9,12.77,5.01,6.35,3.43e-05,1.85e-05,2.1700001e-16,1.17e-16,1.85,157.71,5.34,3.45,6.32,5.1900002e-05,2.6400001e-05,1.58e-15,8.03e-16,1.97,157.59,8.37,4.16,-0.18,-0.69,0.39,149.8605599648,2.3878495876,B,,Y,,,,,,
339,b'cid_1308 ',149.838409999,2.4518957188,0.349,15.04,0.000156,5.9899998e-05,2.45e-15,9.4e-16,2.6,111.56,14.63,5.33,18.94,0.000112,4.1e-05,7.1e-16,2.6e-16,2.72,104.19,10.35,4.57,-99.0,0.000175,-99.0,5.32e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.32,149.838409999,2.4518957188,B,,Y,,,,,Y,
344,b'cid_1313 ',149.930148634,2.59005860435,0.768,18.37,0.00019600001,4.13e-05,3.25e-15,6.84e-16,4.73,197.03,32.36,7.69,24.19,0.000163,3.35e-05,1.1399999e-15,2.34e-16,4.88,189.36,23.65,6.64,-99.9,0.00010800001,-99.9,3.3e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.64,-0.83,-0.5,149.930148634,2.5900586043500002,B,,Y,,,,,,
346,b'cid_1315 ',150.2797599975,2.4222213944,0.473,9.1,7.6799995e-05,3.7e-05,1.21e-15,5.81e-16,2.07,165.12,12.12,4.9,16.21,7.9800004e-05,2.73e-05,5.06e-16,1.7300001e-16,2.92,162.7,12.38,4.94,-99.0,8.75e-05,-99.0,2.66e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.88,150.2797599975,2.4222213944,B,Y,,,Y,,,,
348,b'cid_133  ',150.240138765,2.56309993858,0.841,37.69,0.00023800001,4.47e-05,3.9e-15,7.32e-16,5.33,158.95,42.13,8.71,66.1,0.00026600002,4.32e-05,1.82e-15,2.96e-16,6.15,156.63,39.5,8.45,-99.9,6.58e-05,-99.9,2.01e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.88,150.240138765,2.5630999385799997,B,,Y,,,,,Y,Y
352,b'cid_134  ',150.240665578,2.53781469103,0.543,41.53,0.000191,3.65e-05,3.1300002e-15,5.99e-16,5.22,163.4,29.88,7.41,52.55,0.000164,3.26e-05,1.13e-15,2.24e-16,5.03,161.91,23.54,6.63,-99.9,9.04e-05,-99.9,2.76e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.61,-0.81,-0.4,150.240665578,2.53781469103,B,,Y,,,,,Y,
355,b'cid_1354 ',149.9263700005,2.1064969862,1.261,12.18,8.8999994e-05,3.17e-05,1.4e-15,4.98e-16,2.81,171.53,14.61,5.33,21.02,0.00010599999,2.71e-05,6.72e-16,1.72e-16,3.89,171.42,17.08,5.72,-99.0,3.53e-05,-99.0,1.0700001e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.84,149.9263700005,2.1064969862000003,B,,Y,,,,,Y,
357,b'cid_1364 ',150.3125399769,2.0091593046,0.909,15.28,0.000147,4.63e-05,2.3099999e-15,7.27e-16,3.18,192.0,26.44,6.99,23.73,0.000139,3.3599998e-05,8.8100003e-16,2.1300001e-16,4.14,187.59,24.43,6.74,-99.0,0.000143,-99.0,4.35e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.71,150.3125399769,2.0091593046000003,B,,Y,,,,,Y,Y
358,b'cid_1366 ',150.269320001,1.8648852879,0.562,11.28,9.59e-05,3.57e-05,1.51e-15,5.6e-16,2.68,163.89,15.17,5.42,-99.0,0.000125,-99.0,7.93e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.000349,-99.0,1.06e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.32,-99.0,150.269320001,1.8648852879,B,,Y,,,,,,
361,b'cid_1388 ',150.2852399968,2.0183472874,0.632,11.01,8.3599996e-05,3.54e-05,1.31e-15,5.56e-16,2.37,215.81,16.51,5.63,-99.0,0.00013,-99.0,8.2399995e-16,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.00033399998,-99.0,1.01999995e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.22,-99.0,150.28523999680002,2.0183472874,B,,Y,,,,,Y,
370,b'cid_1414 ',149.9265300048,2.5605609231,3.285,13.58,0.000113999995,3.52e-05,1.79e-15,5.53e-16,3.24,152.26,18.32,5.9,-99.0,5.96e-05,-99.0,3.78e-16,-99.0,0.0,-99.0,-99.0,-99.0,14.76,0.000104,3.26e-05,3.16e-15,9.91e-16,3.2,152.63,17.23,5.74,-99.0,0.64,-99.0,149.9265300048,2.5605609231,B,,Y,,,,,Y,Y
373,b'cid_1419 ',150.4401899888,2.377727728,1.102,10.24,0.000126,3.83e-05,1.98e-15,6.01e-16,3.28,155.65,19.65,6.1,-99.0,0.000139,-99.0,8.8100003e-16,-99.0,0.0,-99.0,-99.0,-99.0,11.49,0.000116999996,3.56e-05,3.56e-15,1.08e-15,3.29,153.7,18.9,5.99,-99.0,0.57,-99.0,150.4401899888,2.377727728,B,,Y,,,,,Y,
374,b'cid_142  ',150.053787714,2.58965008484,0.1,4881.31,0.00752,0.000213,1.24e-13,3.5e-15,35.35,160.82,1097.46,42.81,4467.5,0.00579,0.00018999999,3.99e-14,1.31e-15,30.42,157.71,826.17,37.19,893.25,0.0019400001,0.00010499999,5.92e-14,3.2e-15,18.46,162.28,273.75,21.57,-0.5,-0.53,-0.47,150.053787714,2.58965008484,B,Y,,,,,,,
375,b'cid_1427 ',150.1005099969,2.4576299286,0.772,17.88,0.00011,3.85e-05,1.73e-15,6.04e-16,2.85,201.84,21.56,6.36,-99.0,0.000126,-99.0,7.99e-16,-99.0,0.0,-99.0,-99.0,-99.0,16.29,0.00010700001,3.52e-05,3.25e-15,1.0700001e-15,3.05,207.67,21.95,6.42,-99.0,0.5,-99.0,150.1005099969,2.4576299286000003,B,,Y,,,,,Y,
380,b'cid_1434 ',150.0904399747,1.9297962105,0.43,23.24,0.000102,4.27e-05,1.6e-15,6.7e-16,2.38,165.87,16.55,5.64,-99.0,0.000128,-99.0,8.12e-16,-99.0,0.0,-99.0,-99.0,-99.0,18.43,7.41e-05,3.78e-05,2.25e-15,1.15e-15,1.95,170.64,12.47,4.96,0.02,-0.25,0.7,150.0904399747,1.9297962105000002,B,,Y,,,,,Y,
383,b'cid_1440 ',149.9083600023,2.5722786757,0.349,21.39,0.000156,4.65e-05,2.45e-15,7.3e-16,3.35,164.87,24.67,6.77,12.91,7.91e-05,2.9e-05,5.0100003e-16,1.84e-16,2.73,162.36,12.3,4.93,-99.0,0.00041900002,-99.0,1.26999995e-14,-99.0,0.0,-99.0,-99.0,-99.0,-0.09,-0.36,0.36,149.9083600023,2.5722786757,B,,Y,,,,,Y,
384,b'cid_1443 ',150.0092499743,2.3901400788,0.6,16.89,0.000120000004,3.72e-05,1.88e-15,5.84e-16,3.23,168.11,18.73,5.96,12.83,6.6399996e-05,2.4e-05,4.21e-16,1.52e-16,2.76,167.65,10.44,4.58,-99.0,0.000315,-99.0,9.58e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.06,-0.35,0.38,150.0092499743,2.3901400788,B,,Y,,,,,Y,Y
387,b'cid_1447 ',150.3912099882,2.1832612332,0.723,14.11,0.000123,3.52e-05,1.93e-15,5.53e-16,3.49,172.11,19.56,6.08,6.94,4.96e-05,2.1e-05,3.14e-16,1.33e-16,2.35,171.53,7.78,4.03,9.53,7.38e-05,2.92e-05,2.24e-15,8.88e-16,2.54,171.83,12.07,4.89,-0.02,-0.41,0.4,150.3912099882,2.1832612332,B,,Y,,,,,,
396,b'cid_1464 ',150.1503199611,2.3643142933,0.57,17.1,0.000149,4.63e-05,2.3399999e-15,7.27e-16,3.23,178.17,25.87,6.92,12.1,8.51e-05,2.94e-05,5.4e-16,1.86e-16,2.9,171.68,14.46,5.3,-99.0,0.00031,-99.0,9.42e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.09,-0.15,0.42,150.1503199611,2.3643142933,B,,Y,,,,,,Y
399,b'cid_1468 ',149.8239499843,1.9998964934,0.544,16.45,0.000113,3.54e-05,1.77e-15,5.56e-16,3.19,159.96,18.03,5.86,15.13,7.16e-05,2.4300001e-05,4.5399997e-16,1.54e-16,2.93,159.56,11.27,4.74,-99.0,0.00016,-99.0,4.86e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.62,149.82394998430001,1.9998964934,B,,Y,,,,,Y,
412,b'cid_1485 ',150.1915899984,1.9099486971,0.428,34.55,0.00021700001,4.77e-05,3.41e-15,7.49e-16,4.54,250.88,58.22,10.16,11.37,9.55e-05,2.9300001e-05,6.05e-16,1.86e-16,3.25,239.26,23.51,6.62,15.14,0.000112,3.95e-05,3.4e-15,1.2e-15,2.84,266.05,31.77,7.62,0.02,-0.2,0.26,150.1915899984,1.9099486971000001,B,,Y,,,,,,
417,b'cid_1490 ',149.8045999734,2.1188663938,0.768,13.9,9.8100005e-05,3.58e-05,1.5399999e-15,5.62e-16,2.73,170.95,15.67,5.5,11.79,6.2e-05,2.3699999e-05,3.93e-16,1.5e-16,2.62,169.71,9.75,4.45,-99.0,0.000201,-99.0,6.11e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.55,149.8045999734,2.1188663938,B,,Y,,,,,,
421,b'cid_1496 ',149.9431399925,2.0961901903,1.079,26.64,0.000179,4.14e-05,2.81e-15,6.5e-16,4.34,178.73,29.27,7.34,-99.0,0.000162,-99.0,1.03e-15,-99.0,0.0,-99.0,-99.0,-99.0,17.89,0.000125,3.54e-05,3.8e-15,1.08e-15,3.54,179.36,21.08,6.3,0.58,0.37,0.86,149.9431399925,2.0961901903,B,,Y,,,,,Y,
426,b'cid_1500 ',150.0131699821,2.029825908,0.679,16.59,0.000162,4.0500003e-05,2.54e-15,6.3600004e-16,4.01,170.85,26.2,6.97,24.07,0.000156,3.31e-05,9.89e-16,2.1e-16,4.73,170.32,24.8,6.79,-99.0,0.000171,-99.0,5.1999996e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.78,150.01316998209998,2.0298259080000003,B,,Y,,,,,Y,Y
431,b'cid_1506 ',150.2174900028,2.0051739058,0.364,23.42,0.000121000005,3.82e-05,1.9e-15,6e-16,3.17,213.01,26.36,6.98,-99.0,0.000241,-99.0,1.53e-15,-99.0,0.0,-99.0,-99.0,-99.0,14.42,7.21e-05,3.23e-05,2.19e-15,9.819999e-16,2.23,220.46,16.43,5.62,-99.0,0.66,-99.0,150.21749000280002,2.0051739058,B,,Y,,,,,Y,
439,b'cid_1514 ',150.0861699559,2.1388651852,0.41,24.3,0.00016499999,3.93e-05,2.59e-15,6.1700003e-16,4.2,169.73,26.96,7.06,9.9,5.96e-05,2.27e-05,3.78e-16,1.4400001e-16,2.62,169.28,9.59,4.42,11.1,9.53e-05,3.2e-05,2.9e-15,9.73e-16,2.97,169.37,15.99,5.55,0.04,-0.29,0.37,150.0861699559,2.1388651852000002,B,,Y,,,,,,
442,b'cid_1518 ',150.1507899956,2.1916335252,0.609,9.52,0.000125,4.14e-05,1.96e-15,6.5e-16,3.01,239.95,28.52,7.25,-99.0,4.4099997e-05,-99.0,2.8e-16,-99.0,0.0,-99.0,-99.0,-99.0,17.5,0.00011,3.73e-05,3.34e-15,1.13e-15,2.97,244.82,26.23,6.97,-99.0,0.87,-99.0,150.1507899956,2.1916335252000003,B,,Y,,,,,Y,
443,b'cid_152  ',150.16273221,2.62208358662,0.1,426.85,0.00093100005,7.24e-05,1.52e-14,1.1799999e-15,12.86,161.65,161.02,16.63,326.85,0.00059,4.9299997e-05,4.0300002e-15,3.37e-16,11.97,158.6,96.12,12.94,123.33,0.000342,4.55e-05,1.0399999e-14,1.39e-15,7.52,165.39,70.31,11.13,-0.18,-0.26,-0.1,150.16273221,2.62208358662,B,Y,,,,,,,
445,b'cid_1522 ',149.974449978,2.3150549065,0.337,34.1,0.000226,4.46e-05,3.55e-15,7e-16,5.06,188.09,39.71,8.47,18.22,0.000125,2.99e-05,7.93e-16,1.9e-16,4.17,183.07,21.58,6.37,14.9,0.000103,3.43e-05,3.1300002e-15,1.04e-15,3.01,186.73,18.78,5.97,-0.2,-0.48,0.07,149.974449978,2.3150549065,B,,Y,,,,,Y,Y
447,b'cid_1528 ',149.9304300143,2.5224352015,1.179,14.6,0.000121000005,3.06e-05,1.9e-15,4.8e-16,3.96,156.12,19.89,6.13,-99.0,0.000327,-99.0,2.0699999e-15,-99.0,0.0,-99.0,-99.0,-99.0,10.27,8.32e-05,2.6e-05,2.53e-15,7.9e-16,3.19,155.53,14.06,5.23,-99.0,-99.0,-0.54,149.93043001430001,2.5224352015,B,,Y,,,,,,
449,b'cid_1531 ',149.950000018,2.5562687134,0.792,9.67,6.7199995e-05,3.22e-05,1.0599999e-15,5.06e-16,2.09,169.85,10.73,4.64,-99.0,5.62e-05,-99.0,3.56e-16,-99.0,0.0,-99.0,-99.0,-99.0,18.19,8.96e-05,3.1800002e-05,2.72e-15,9.67e-16,2.82,170.5,14.75,5.35,-99.0,0.35,-99.0,149.950000018,2.5562687134,B,,Y,,,,,Y,
450,b'cid_1533 ',150.3327999931,2.4265237301,0.506,9.52,0.00010599999,3.37e-05,1.6599999e-15,5.29e-16,3.12,207.35,16.52,5.63,19.41,0.000113999995,2.8900002e-05,7.23e-16,1.83e-16,3.93,197.64,17.49,5.78,-99.0,0.000143,-99.0,4.35e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.33,150.3327999931,2.4265237301,B,,Y,,,,,,
454,b'cid_154  ',150.179887636,2.62142126877,0.141,320.81,0.00082200003,5.9e-05,1.34e-14,9.6e-16,13.93,179.22,144.18,15.76,221.84,0.000511,4.63e-05,3.46e-15,3.14e-16,11.02,168.21,80.77,11.89,112.33,0.000321,3.89e-05,9.79e-15,1.1900001e-15,8.24,189.76,64.72,10.69,-0.09,-0.18,0.01,150.17988763600002,2.6214212687700003,B,Y,,,,,,,
460,b'cid_1549 ',149.9315500041,2.3518566953,0.429,10.81,0.000166,4.9000002e-05,2.6099999e-15,7.69e-16,3.39,164.68,28.12,7.2,8.42,7.54e-05,2.95e-05,4.78e-16,1.87e-16,2.55,159.89,12.49,4.96,-99.0,0.00034,-99.0,1.0299999e-14,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.67,149.9315500041,2.3518566953,B,,Y,,,,,,
468,b'cid_1560 ',150.532402166,2.37632042713,0.12,157.47,0.000757,9.21e-05,1.21e-14,1.48e-15,8.22,180.12,70.35,11.13,167.94,0.00045999998,6.8e-05,3.04e-15,4.49e-16,6.76,169.55,59.04,10.23,-99.9,0.00010800001,-99.9,3.29e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.86,150.532402166,2.37632042713,B,Y,,Y,,,,,
488,b'cid_1592 ',150.430016457,2.54790267315,0.147,489.2,0.00139,8.4600004e-05,2.24e-14,1.36e-15,16.4,205.82,255.49,20.85,625.18,0.00135,8.1800004e-05,8.96e-15,5.43e-16,16.56,183.72,220.14,19.38,17.38,0.000138,3.47e-05,4.1999997e-15,1.0599999e-15,3.98,225.46,30.36,7.46,-0.74,-0.8,-0.68,150.430016457,2.54790267315,B,Y,,Y,,,,,
563,b'cid_1710 ',149.7843099611,1.9589539109,0.349,10.69,4.61e-05,3.62e-05,7.24e-16,5.6799997e-16,1.27,215.45,9.56,4.41,20.24,5.8499998e-05,2.42e-05,3.71e-16,1.53e-16,2.42,209.61,11.86,4.85,-99.0,4.33e-05,-99.0,1.32e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.38,-0.63,0.06,149.7843099611,1.9589539109,B,Y,,Y,,,,,
568,b'cid_1730 ',150.467020452,2.53213758877,0.385,48.25,0.000299,4.68e-05,4.84e-15,7.58e-16,6.38,181.66,34.13,7.88,47.41,0.000191,3.44e-05,1.28e-15,2.31e-16,5.54,175.62,24.05,6.69,12.57,0.000121000005,3.87e-05,3.69e-15,1.1799999e-15,3.14,191.69,5.9,3.59,-99.0,-99.0,-0.62,150.467020452,2.53213758877,B,,Y,,,,,Y,
570,b'cid_1736 ',150.490405233,2.46255213475,1.32,25.16,0.000129,3e-05,2.11e-15,4.9e-16,4.31,173.99,22.24,6.45,12.66,6.62e-05,2.26e-05,4.5100005e-16,1.54e-16,2.93,172.81,9.37,4.37,13.18,6.81e-05,2.2999999e-05,2.08e-15,7.01e-16,2.96,173.65,10.4,4.58,-0.09,-0.35,0.26,150.490405233,2.46255213475,B,,Y,,,,,,
571,b'cid_1739 ',150.495616771,2.37959056687,0.346,27.06,0.000112,3.65e-05,1.84e-15,5.98e-16,3.06,181.2,19.07,6.01,23.9,0.00010800001,4.21e-05,7.41e-16,2.8900002e-16,2.56,168.57,9.05,4.31,-99.9,0.000113,-99.9,3.4500001e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.23,150.49561677100002,2.37959056687,B,,Y,,,,,Y,
575,b'cid_1746 ',150.519476502,2.37692256615,0.239,17.21,0.000102,3.72e-05,1.6599999e-15,6.04e-16,2.73,194.48,8.55,4.2,14.2,0.000109,3.68e-05,7.35e-16,2.48e-16,2.96,178.98,9.21,4.34,-99.9,6.7600005e-05,-99.9,2.06e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.44,150.519476502,2.37692256615,B,,Y,,,Y,,,
584,b'cid_1768 ',150.591242458,2.34458492258,0.455,7.74,9.3e-05,3.95e-05,1.5e-15,6.38e-16,2.36,215.75,16.88,5.69,16.81,0.000121000005,3.64e-05,8.1000003e-16,2.4400002e-16,3.32,199.12,16.4,5.61,-99.9,9.04e-05,-99.9,2.75e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.54,150.59124245799998,2.3445849225799997,B,,Y,,,Y,,Y,
587,b'cid_1770 ',150.60176696,2.28846572882,0.428,46.92,0.000273,4.5e-05,4.42e-15,7.29e-16,6.08,195.89,43.24,8.82,47.06,0.000199,3.88e-05,1.34e-15,2.61e-16,5.13,181.81,27.56,7.13,9.19,8.0699996e-05,3.23e-05,2.46e-15,9.84e-16,2.5,200.07,17.37,5.76,-0.36,-0.55,-0.09,150.60176696,2.28846572882,B,Y,,,,,,,
589,b'cid_1779 ',150.2976899944,2.3753657329,1.24,11.67,0.00010599999,2.99e-05,1.6599999e-15,4.69e-16,3.55,173.48,17.24,5.74,-99.0,0.00010800001,-99.0,6.85e-16,-99.0,0.0,-99.0,-99.0,-99.0,7.01,7.99e-05,2.6099999e-05,2.43e-15,7.93e-16,3.07,172.66,13.37,5.12,-99.0,0.72,-99.0,150.2976899944,2.3753657328999997,B,,Y,,,,,Y,
610,b'cid_1836 ',150.47913065,2.40451073113,0.74,24.52,0.00010700001,2.6099999e-05,1.76e-15,4.2800003e-16,4.12,165.06,16.76,5.67,11.25,3.9900002e-05,1.82e-05,2.74e-16,1.25e-16,2.2,160.31,5.21,3.41,15.28,7.5e-05,2.4100002e-05,2.29e-15,7.35e-16,3.11,167.21,11.95,4.87,0.36,0.08,0.77,150.47913065,2.4045107311300002,B,Y,,,,,,,
616,b'cid_1870 ',150.265762966,2.51429449553,0.476,12.49,0.000132,3.85e-05,2.16e-15,6.3e-16,3.43,165.9,16.72,5.66,29.36,0.000145,3.52e-05,9.93e-16,2.41e-16,4.12,161.45,9.0,4.3,-99.9,9.8599994e-05,-99.9,3.01e-15,-99.9,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.4,150.265762966,2.51429449553,B,,Y,,,,,Y,
629,b'cid_1925 ',150.025143239,2.6335671482,0.459,10.97,0.000117999996,3.4e-05,1.93e-15,5.55e-16,3.46,176.51,16.05,5.56,10.42,7.18e-05,2.53e-05,4.89e-16,1.72e-16,2.84,168.66,11.25,4.74,-99.9,8.49e-05,-99.9,2.59e-15,-99.9,0.0,-99.0,-99.0,-99.0,-0.51,-0.74,-0.25,150.025143239,2.6335671482,B,,Y,,,,,Y,
631,b'cid_1930 ',150.042241767,2.6292426614,0.325,594.09,0.00192,0.000117999996,3.1800002e-14,1.95e-15,16.26,142.64,97.1,13.0,475.41,0.0011900001,8.43e-05,8.32e-15,5.89e-16,14.12,137.73,55.35,9.92,191.65,0.00075999997,6.88e-05,2.3199999e-14,2.0999999e-15,11.05,146.99,41.1,8.61,-0.24,-0.36,-0.11,150.042241767,2.6292426613999997,B,,Y,,,,,Y,
645,b'cid_1995 ',150.4244899731,2.2917522807,0.456,19.17,0.000104,3.55e-05,1.63e-15,5.57e-16,2.93,166.6,16.28,5.59,-99.0,0.000172,-99.0,1.09e-15,-99.0,0.0,-99.0,-99.0,-99.0,16.69,6.53e-05,2.98e-05,1.99e-15,9.06e-16,2.18,166.15,10.52,4.6,0.55,0.32,0.82,150.42448997309998,2.2917522807,B,,Y,,,Y,,,
654,b'cid_2015 ',150.487039983,2.283044295,0.946,20.06,0.000113999995,3.96e-05,1.79e-15,6.2199996e-16,2.88,174.31,9.8,4.46,-99.0,0.000164,-99.0,1.04e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.00028900002,-99.0,8.79e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.22,-99.0,150.487039983,2.283044295,B,,Y,,,,,,
662,b'cid_2040 ',150.2219399996,2.2701674242,1.966,12.3,9.7200005e-05,3.15e-05,1.53e-15,4.9499997e-16,3.09,168.03,15.78,5.52,20.47,8.41e-05,2.46e-05,5.33e-16,1.5599999e-16,3.42,170.77,13.48,5.14,-99.0,0.000195,-99.0,5.9299997e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.3,150.22193999959998,2.2701674242,B,,Y,,,,,Y,
666,b'cid_2059 ',150.3158299802,2.3368734719,0.482,11.07,7.71e-05,3.61e-05,1.21e-15,5.67e-16,2.14,161.39,12.41,4.95,9.16,3.0199999e-05,2.08e-05,1.91e-16,1.32e-16,1.46,156.52,4.78,3.29,-99.0,0.000179,-99.0,5.44e-15,-99.0,0.0,-99.0,-99.0,-99.0,0.25,-0.06,0.74,150.3158299802,2.3368734719,IZY,Y,,,,,,,
667,b'cid_206  ',149.8370700156,2.0089121051,0.128,650.85,0.00153,9.77e-05,2.4000001e-14,1.53e-15,15.61,168.92,249.96,20.62,616.28,0.0010800001,7.9699996e-05,6.85e-15,5.0500004e-16,13.54,168.05,173.84,17.26,110.8,0.00039600002,5.51e-05,1.20000005e-14,1.68e-15,7.17,169.29,66.51,10.83,-0.46,-0.56,-0.36,149.8370700156,2.0089121051,B,Y,,,Y,,,,
673,b'cid_208  ',149.8519300019,1.9985272873,0.1,9367.73,0.0119,0.00025399998,1.87e-13,3.99e-15,46.78,170.55,1981.46,57.41,8466.46,0.00871,0.000218,5.52e-14,1.38e-15,39.92,170.27,1435.68,48.92,1761.76,0.00287,0.000124,8.72e-14,3.77e-15,23.1,170.02,491.86,28.78,-0.49,-0.52,-0.46,149.8519300019,1.9985272873,B,Y,,,,,,,
679,b'cid_2111 ',150.0558799628,2.3576759856,0.417,7.3,6.62e-05,3.19e-05,1.04e-15,5.0100003e-16,2.07,171.44,10.61,4.62,13.06,5.23e-05,2.2100001e-05,3.32e-16,1.4e-16,2.36,170.33,8.26,4.14,-99.0,0.000256,-99.0,7.78e-15,-99.0,0.0,-99.0,-99.0,-99.0,-0.15,-0.48,0.4,150.05587996280002,2.3576759856000002,B,,Y,,,Y,,,
682,b'cid_212  ',149.8850500187,2.0088674893,0.293,144.13,0.000515,6.02e-05,8.09e-15,9.449999e-16,8.57,151.87,81.22,11.93,192.51,0.00044200002,5.2600004e-05,2.8e-15,3.33e-16,8.4,150.62,68.6,10.99,-99.0,0.00023900002,-99.0,7.27e-15,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-0.85,149.8850500187,2.0088674893,B,Y,,Y,,,,,
685,b'cid_2125 ',150.0894400005,2.2999710774,1.157,13.94,0.000126,3.63e-05,1.98e-15,5.6999997e-16,3.46,162.44,20.46,6.21,-99.0,3.54e-05,-99.0,2.24e-16,-99.0,0.0,-99.0,-99.0,-99.0,14.76,0.000129,3.48e-05,3.92e-15,1.0599999e-15,3.71,163.39,21.63,6.37,-99.0,0.94,-99.0,150.0894400005,2.2999710774,B,,Y,,,,,Y,
694,b'cid_218  ',149.807934545,1.82622383839,0.502,15.82,0.000116999996,3.0199999e-05,1.9199999e-15,4.94e-16,3.87,167.06,19.71,6.1,-99.9,5.54e-05,-99.9,3.79e-16,-99.9,0.0,-99.0,-99.0,-99.0,17.26,0.00011,2.7799999e-05,3.36e-15,8.4799994e-16,3.96,161.19,17.82,5.83,0.74,0.66,0.94,149.807934545,1.8262238383900002,B,,Y,,,,,Y,
