ra,dec
150.497436436,2.4572041871
150.283709052,2.49452985564
149.8655599694,2.0031612117
150.11983,2.11738
150.341283284,1.7611780949
149.7877899863,1.9290451136
150.265099995,2.0076121876
149.858418319,1.74571209523
150.254505408,1.72077930498
149.8618199545,2.1730897315
