ra,dec
150.233274325,2.64321259506
150.639334612,1.73007200991
150.378925559,2.86001884733
149.8175600127,1.9248376947
150.242553741,2.61476403322
150.639774776,2.0602717898
150.487039983,2.283044295
150.214533296,2.91118931516
149.554058734,1.62610355569
149.863223872,2.55094370102
150.100376855,2.8125546694
150.463733204,2.77551453272
149.930148634,2.59005860435
150.20899963378906,2.249554
150.1393299992,2.3430127877
149.77215967,2.93190967721
149.492037787,2.51795434821
150.234442643,2.63583016807
149.582898393,2.48941898684
150.055306726,1.58618971083
149.89700317382812,2.323927
150.3429899883,2.3444932296
150.425795746,2.16006029466
149.393835423,2.59887099732
150.858383135,2.07921975738
149.9315500041,2.3518566953
150.4251899911,2.3120887098
150.034276979,1.72089743054
149.387773591,2.72135483096
150.509408667,1.85759033956
150.0558799628,2.3576759856
149.8045999734,2.1188663938
149.611116763,1.74568394713
