,ra,dec
125,150.398928113,2.05945495733
126,149.9056000129,2.2251059678
127,149.8510899678,2.2874364954
128,149.852939994,2.2059182733
129,150.01400756835938,2.193798
130,149.8791999878,2.2258112188
131,149.842570016,2.3244262012
132,150.102614012,2.53039366026
133,149.7937699957,2.3272705129
134,149.8515499974,2.3239994285
135,149.8117299605,2.2969679742
136,149.8330899719,2.134335029
137,149.8969900031,2.1963364748
139,150.0189299694,2.1478368937
140,150.0105599775,2.2694837854
141,149.9532199589,2.2125212814
142,149.8948399979,2.1744971041
144,149.9070900083,2.1692635759
145,149.8773700025,2.316151419
146,149.9317499634,2.2244773307
147,149.8462999653,2.2567031099
148,149.8858999798,2.2760271904
149,149.8548299951,2.1120893824
150,149.9012499948,2.1684585168
151,149.9244300071,2.1492851256
152,150.0288400099,2.1583118309
153,150.0591299686,2.2198236064
154,150.132378583,2.52334450145
155,150.0930699845,2.1014147106
156,150.0105000195,2.255991879
157,150.0181299828,2.2595779801
158,150.0368600085,2.2577741018
159,150.1046700137,2.2438179736
160,149.9866699919,2.1893742008
161,150.044163961,2.65649197981
162,150.0077700096,2.149298189
163,150.0187399957,2.2187294938
164,150.0241099572,2.2447951247
165,150.062086489,2.65958168189
166,150.0244199858,2.2329642985
167,150.0433099711,2.156501325
168,150.2259979248047,2.268128
169,150.0611000063,2.1191141857
170,150.0789699955,2.2665922663
171,150.0843699911,2.1844523145
173,150.105949975,2.2131708078
174,150.1201400178,2.2213526019
177,150.10000610351562,2.354513
178,150.1156399709,2.1267315887
179,150.1200300179,2.1595966749
181,149.89700317382812,2.323927
182,150.0564799541,2.2085280235
188,150.1087399954,2.1570398673
192,150.1395199676,2.0952550875
194,150.20899963378906,2.249554
205,149.9358099776,2.440589674
206,149.8678900071,2.3518615066
207,149.9037499906,2.3865019869
208,149.8390299594,2.4077442191
210,149.8642600167,2.3551039687
211,150.368579339,1.99234311682
212,149.870119959,2.3519688015
213,149.8852099867,2.3728081724
215,149.8809599595,2.4508940719
216,149.8395099816,2.4606290196
217,149.876099986,2.3817990048
