ra,dec
150.536887284,2.3996909277
149.8311799581,1.9251753086
149.9164900209,2.0581984995
149.9897099783,2.040463212
149.9998400115,2.1093708927
150.1800000042,1.962183609
150.0963999549,2.2930391017
150.1796499764,2.1162006841
150.19980674,1.57277049451
149.471016752,1.79424173109
